model,seed,task,strategy,expected_observations,slice_key,artifact_found,slice_status,observation_count,fatal_error,model_call_failure_count,parse_failure_count,fallback_to_previous_code_count
qwen2.5-coder:1.5b,1,config_timeout,no_anchor,3,qwen2.5-coder:1.5b|1|config_timeout|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,1,config_timeout,active_constraints,3,qwen2.5-coder:1.5b|1|config_timeout|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,2,todo_tags,no_anchor,3,qwen2.5-coder:1.5b|2|todo_tags|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,2,todo_tags,active_constraints,3,qwen2.5-coder:1.5b|2|todo_tags|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,2,todo_done_filter,no_anchor,3,qwen2.5-coder:1.5b|2|todo_done_filter|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,2,todo_done_filter,active_constraints,3,qwen2.5-coder:1.5b|2|todo_done_filter|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,2,redactor_aws,no_anchor,3,qwen2.5-coder:1.5b|2|redactor_aws|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,2,redactor_aws,active_constraints,3,qwen2.5-coder:1.5b|2|redactor_aws|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,2,config_timeout,no_anchor,3,qwen2.5-coder:1.5b|2|config_timeout|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,2,config_timeout,active_constraints,3,qwen2.5-coder:1.5b|2|config_timeout|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,3,todo_tags,no_anchor,3,qwen2.5-coder:1.5b|3|todo_tags|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,3,todo_tags,active_constraints,3,qwen2.5-coder:1.5b|3|todo_tags|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,3,todo_done_filter,no_anchor,3,qwen2.5-coder:1.5b|3|todo_done_filter|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,3,todo_done_filter,active_constraints,3,qwen2.5-coder:1.5b|3|todo_done_filter|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,3,redactor_aws,no_anchor,3,qwen2.5-coder:1.5b|3|redactor_aws|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,3,redactor_aws,active_constraints,3,qwen2.5-coder:1.5b|3|redactor_aws|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,3,config_timeout,no_anchor,3,qwen2.5-coder:1.5b|3|config_timeout|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:1.5b,3,config_timeout,active_constraints,3,qwen2.5-coder:1.5b|3|config_timeout|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:3b,1,todo_tags,no_anchor,3,qwen2.5-coder:3b|1|todo_tags|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:3b,1,todo_tags,active_constraints,3,qwen2.5-coder:3b|1|todo_tags|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:3b,1,todo_done_filter,no_anchor,3,qwen2.5-coder:3b|1|todo_done_filter|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:3b,1,todo_done_filter,active_constraints,3,qwen2.5-coder:3b|1|todo_done_filter|active_constraints,True,completed,3,False,5,0,5
qwen2.5-coder:3b,1,redactor_aws,no_anchor,3,qwen2.5-coder:3b|1|redactor_aws|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:3b,1,redactor_aws,active_constraints,3,qwen2.5-coder:3b|1|redactor_aws|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:3b,1,config_timeout,no_anchor,3,qwen2.5-coder:3b|1|config_timeout|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:3b,1,config_timeout,active_constraints,3,qwen2.5-coder:3b|1|config_timeout|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:3b,2,todo_tags,no_anchor,3,qwen2.5-coder:3b|2|todo_tags|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:3b,2,todo_tags,active_constraints,3,qwen2.5-coder:3b|2|todo_tags|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:3b,2,todo_done_filter,no_anchor,3,qwen2.5-coder:3b|2|todo_done_filter|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:3b,2,todo_done_filter,active_constraints,3,qwen2.5-coder:3b|2|todo_done_filter|active_constraints,True,completed,3,False,7,0,7
qwen2.5-coder:3b,2,redactor_aws,no_anchor,3,qwen2.5-coder:3b|2|redactor_aws|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:3b,2,redactor_aws,active_constraints,3,qwen2.5-coder:3b|2|redactor_aws|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:3b,2,config_timeout,no_anchor,3,qwen2.5-coder:3b|2|config_timeout|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:3b,2,config_timeout,active_constraints,3,qwen2.5-coder:3b|2|config_timeout|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:3b,3,todo_tags,no_anchor,3,qwen2.5-coder:3b|3|todo_tags|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:3b,3,todo_tags,active_constraints,3,qwen2.5-coder:3b|3|todo_tags|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:3b,3,todo_done_filter,no_anchor,3,qwen2.5-coder:3b|3|todo_done_filter|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:3b,3,todo_done_filter,active_constraints,3,qwen2.5-coder:3b|3|todo_done_filter|active_constraints,True,completed,3,False,7,0,7
qwen2.5-coder:3b,3,redactor_aws,no_anchor,3,qwen2.5-coder:3b|3|redactor_aws|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:3b,3,redactor_aws,active_constraints,3,qwen2.5-coder:3b|3|redactor_aws|active_constraints,True,completed,3,False,0,0,0
qwen2.5-coder:3b,3,config_timeout,no_anchor,3,qwen2.5-coder:3b|3|config_timeout|no_anchor,True,completed,3,False,0,0,0
qwen2.5-coder:3b,3,config_timeout,active_constraints,3,qwen2.5-coder:3b|3|config_timeout|active_constraints,True,completed,3,False,0,0,0
