model,seed,task,strategy,n,first_horizon,last_horizon,first_feature_score,last_feature_score,feature_delta,feature_slope,first_legacy_score,last_legacy_score,legacy_delta,legacy_slope,first_spec_score,last_spec_score,spec_delta,spec_slope,ssfr_early,ssfr_late,ssfr_delta,feature_auc,legacy_auc,spec_auc,ssfr_auc,infra_clean_all,convergence_class
baseline:copy,2,todo_done_filter,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,2,todo_done_filter,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,2,todo_tags,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,2,todo_tags,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,3,config_timeout,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,3,config_timeout,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,3,redactor_aws,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,3,redactor_aws,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,3,todo_done_filter,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,3,todo_done_filter,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,3,todo_tags,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,3,todo_tags,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,1,config_timeout,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,1,config_timeout,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,1,redactor_aws,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,1,redactor_aws,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,1,todo_done_filter,active_constraints,3,5,20,0.0,1.0,1.0,0.8008234284565395,1.0,1.0,0.0,0.0,0.6,0.9500000000000001,0.3500000000000001,0.28000162987866567,1.0,0.0,-1.0,0.4444444444444444,1.0,0.7611111111111111,0.6666666666666666,True,stable_success
qwen2.5-coder:1.5b,1,todo_done_filter,no_anchor,3,5,20,0.0,0.3333333333333333,0.3333333333333333,0.26312020840387007,1.0,1.0,0.0,0.0,0.6,0.7333333333333333,0.1333333333333333,0.10524808336154802,1.0,1.0,0.0,0.2222222222222222,1.0,0.6888888888888889,1.0,True,silent_plateau
qwen2.5-coder:1.5b,1,todo_tags,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,1,todo_tags,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,2,config_timeout,active_constraints,3,5,20,0.0,1.0,1.0,0.8065548300790043,1.0,1.0,0.0,0.0,0.6,0.9500000000000001,0.3500000000000001,0.2822941905276515,1.0,0.0,-1.0,0.3333333333333333,1.0,0.7166666666666667,0.6666666666666666,True,stable_success
qwen2.5-coder:1.5b,2,config_timeout,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,2,redactor_aws,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,2,redactor_aws,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,2,todo_done_filter,active_constraints,3,5,20,0.0,1.0,1.0,0.8008234284565395,1.0,1.0,0.0,0.0,0.6,0.9500000000000001,0.3500000000000001,0.28000162987866567,1.0,0.0,-1.0,0.4444444444444444,1.0,0.7611111111111111,0.6666666666666666,True,stable_success
qwen2.5-coder:1.5b,2,todo_done_filter,no_anchor,3,5,20,0.0,0.3333333333333333,0.3333333333333333,0.26312020840387007,1.0,1.0,0.0,0.0,0.6,0.7333333333333333,0.1333333333333333,0.10524808336154802,1.0,1.0,0.0,0.2222222222222222,1.0,0.6888888888888889,1.0,True,silent_plateau
qwen2.5-coder:1.5b,2,todo_tags,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,2,todo_tags,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,3,config_timeout,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,3,config_timeout,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,3,redactor_aws,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,3,redactor_aws,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,3,todo_done_filter,active_constraints,3,5,20,0.0,1.0,1.0,0.8008234284565395,1.0,1.0,0.0,0.0,0.6,0.9500000000000001,0.3500000000000001,0.28000162987866567,1.0,0.0,-1.0,0.4444444444444444,1.0,0.7611111111111111,0.6666666666666666,True,stable_success
qwen2.5-coder:1.5b,3,todo_done_filter,no_anchor,3,5,20,0.0,0.3333333333333333,0.3333333333333333,0.26312020840387007,1.0,1.0,0.0,0.0,0.6,0.7333333333333333,0.1333333333333333,0.10524808336154802,1.0,1.0,0.0,0.2222222222222222,1.0,0.6888888888888889,1.0,True,silent_plateau
qwen2.5-coder:1.5b,3,todo_tags,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:1.5b,3,todo_tags,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
qwen2.5-coder:3b,1,config_timeout,active_constraints,3,5,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9500000000000001,0.9500000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9500000000000001,0.0,True,stable_success
qwen2.5-coder:3b,1,config_timeout,no_anchor,3,5,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,True,stable_success
qwen2.5-coder:3b,1,redactor_aws,active_constraints,3,5,20,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.5611111111111111,0.5611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.5611111111111111,0.0,True,partial_or_flat
qwen2.5-coder:3b,1,redactor_aws,no_anchor,3,5,20,1.0,1.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.9611111111111111,0.9611111111111111,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.9611111111111111,0.0,True,partial_or_flat
qwen2.5-coder:3b,1,todo_done_filter,active_constraints,3,5,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9500000000000001,0.9500000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9500000000000001,0.0,False,stable_success
qwen2.5-coder:3b,1,todo_done_filter,no_anchor,3,5,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,True,stable_success
qwen2.5-coder:3b,1,todo_tags,active_constraints,3,5,20,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.5611111111111111,0.5611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.5611111111111111,0.0,True,partial_or_flat
qwen2.5-coder:3b,1,todo_tags,no_anchor,3,5,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,True,stable_success
qwen2.5-coder:3b,2,config_timeout,active_constraints,3,5,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9500000000000001,0.9500000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9500000000000001,0.0,True,stable_success
qwen2.5-coder:3b,2,config_timeout,no_anchor,3,5,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,True,stable_success
qwen2.5-coder:3b,2,redactor_aws,active_constraints,3,5,20,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.5611111111111111,0.5611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.5611111111111111,0.0,True,partial_or_flat
qwen2.5-coder:3b,2,redactor_aws,no_anchor,3,5,20,1.0,1.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.9611111111111111,0.9611111111111111,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.9611111111111111,0.0,True,partial_or_flat
qwen2.5-coder:3b,2,todo_done_filter,active_constraints,3,5,20,1.0,0.0,-1.0,-0.8008234284565395,1.0,1.0,0.0,0.0,1.0,0.6,-0.4,-0.32032937138261586,0.0,1.0,1.0,0.5555555555555556,1.0,0.8222222222222222,0.3333333333333333,False,silent_plateau
qwen2.5-coder:3b,2,todo_done_filter,no_anchor,3,5,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,True,stable_success
qwen2.5-coder:3b,2,todo_tags,active_constraints,3,5,20,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.5611111111111111,0.5611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.5611111111111111,0.0,True,partial_or_flat
qwen2.5-coder:3b,2,todo_tags,no_anchor,3,5,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,True,stable_success
qwen2.5-coder:3b,3,config_timeout,active_constraints,3,5,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9500000000000001,0.9500000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9500000000000001,0.0,True,stable_success
qwen2.5-coder:3b,3,config_timeout,no_anchor,3,5,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,True,stable_success
qwen2.5-coder:3b,3,redactor_aws,active_constraints,3,5,20,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.5611111111111111,0.5611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.5611111111111111,0.0,True,partial_or_flat
qwen2.5-coder:3b,3,redactor_aws,no_anchor,3,5,20,1.0,1.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.9611111111111111,0.9611111111111111,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.9611111111111111,0.0,True,partial_or_flat
qwen2.5-coder:3b,3,todo_done_filter,active_constraints,3,5,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9500000000000001,0.9500000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9500000000000001,0.0,False,stable_success
qwen2.5-coder:3b,3,todo_done_filter,no_anchor,3,5,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,True,stable_success
qwen2.5-coder:3b,3,todo_tags,active_constraints,3,5,20,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.5611111111111111,0.5611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.5611111111111111,0.0,True,partial_or_flat
qwen2.5-coder:3b,3,todo_tags,no_anchor,3,5,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,True,stable_success
