model,model_index,params_b,family,horizon,seed,context_strategy,CodeDriftScore,SSR_final,CCS_final,SSFR_any,SSFR_critical,CHL,TSS,TestPassRate,ConflictResistance
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,25,3,active_constraints,0.626,0.71,0.71,0.4,0.4,16.8,0.5,0.68,0.6
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,25,3,no_anchor,0.441475,0.49,0.49,0.12,0.12,12.8,0.352,0.4,0.5325
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,25,3,repeated_spec,0.7246,0.8200000000000001,0.8200000000000001,0.24,0.24,21.8,0.632,0.68,0.7
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,25,4,active_constraints,0.626,0.71,0.71,0.4,0.4,16.8,0.5,0.68,0.6
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,25,4,no_anchor,0.46147499999999997,0.54,0.54,0.12,0.12,12.8,0.352,0.4,0.5325
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,25,4,repeated_spec,0.7246,0.8200000000000001,0.8200000000000001,0.24,0.24,21.8,0.632,0.68,0.7
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,25,5,active_constraints,0.626,0.71,0.71,0.4,0.4,16.8,0.5,0.68,0.6
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,25,5,no_anchor,0.46147499999999997,0.54,0.54,0.12,0.12,12.8,0.352,0.4,0.5325
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,25,5,repeated_spec,0.7246,0.8200000000000001,0.8200000000000001,0.24,0.24,21.8,0.632,0.68,0.7
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,50,1,active_constraints,0.6199545454545454,0.71,0.71,0.4,0.4,31.8,0.485,0.6666666666666666,0.603030303030303
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,50,1,no_anchor,0.42377272727272725,0.49,0.49,0.13333333333333333,0.13333333333333333,22.8,0.3133333333333333,0.36666666666666664,0.5251515151515151
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,50,1,repeated_spec,0.7174545454545455,0.8200000000000001,0.8200000000000001,0.26666666666666666,0.26666666666666666,41.8,0.6133333333333333,0.6666666666666666,0.703030303030303
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,50,2,active_constraints,0.6199545454545454,0.71,0.71,0.4,0.4,31.8,0.485,0.6666666666666666,0.603030303030303
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,50,2,no_anchor,0.42377272727272725,0.49,0.49,0.13333333333333333,0.13333333333333333,22.8,0.3133333333333333,0.36666666666666664,0.5251515151515151
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,50,2,repeated_spec,0.7174545454545455,0.8200000000000001,0.8200000000000001,0.26666666666666666,0.26666666666666666,41.8,0.6133333333333333,0.6666666666666666,0.703030303030303
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,50,3,active_constraints,0.6199545454545454,0.71,0.71,0.4,0.4,31.8,0.485,0.6666666666666666,0.603030303030303
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,50,3,no_anchor,0.45560606060606057,0.5233333333333333,0.5233333333333333,0.23333333333333334,0.23333333333333334,22.8,0.33,0.4666666666666667,0.5151515151515151
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,50,3,repeated_spec,0.7174545454545455,0.8200000000000001,0.8200000000000001,0.26666666666666666,0.26666666666666666,41.8,0.6133333333333333,0.6666666666666666,0.703030303030303
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,50,4,active_constraints,0.6199545454545454,0.71,0.71,0.4,0.4,31.8,0.485,0.6666666666666666,0.603030303030303
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,50,4,no_anchor,0.42286363636363633,0.49,0.49,0.13333333333333333,0.13333333333333333,22.8,0.3133333333333333,0.36666666666666664,0.519090909090909
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,50,4,repeated_spec,0.7174545454545455,0.8200000000000001,0.8200000000000001,0.26666666666666666,0.26666666666666666,41.8,0.6133333333333333,0.6666666666666666,0.703030303030303
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,50,5,active_constraints,0.6199545454545454,0.71,0.71,0.4,0.4,31.8,0.485,0.6666666666666666,0.603030303030303
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,50,5,no_anchor,0.42377272727272725,0.49,0.49,0.13333333333333333,0.13333333333333333,22.8,0.3133333333333333,0.36666666666666664,0.5251515151515151
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,50,5,repeated_spec,0.7174545454545455,0.8200000000000001,0.8200000000000001,0.26666666666666666,0.26666666666666666,41.8,0.6133333333333333,0.6666666666666666,0.703030303030303
qwen2.5-coder:1.5b,2,1.5,qwen2.5-coder,10,1,active_constraints,0.6218333333333333,0.6233333333333333,0.6233333333333333,0.25,0.25,8.6,0.6666666666666666,0.75,0.4
qwen2.5-coder:1.5b,2,1.5,qwen2.5-coder,10,1,no_anchor,0.5553333333333333,0.5633333333333334,0.5633333333333334,0.25,0.25,6.6,0.575,0.7,0.35
qwen2.5-coder:1.5b,2,1.5,qwen2.5-coder,10,1,repeated_spec,0.6038333333333333,0.6233333333333333,0.6233333333333333,0.15,0.15,8.6,0.6566666666666666,0.7,0.35
qwen2.5-coder:1.5b,2,1.5,qwen2.5-coder,10,2,active_constraints,0.5618333333333333,0.5233333333333333,0.5233333333333333,0.2,0.2,7.4,0.625,0.7,0.4
qwen2.5-coder:1.5b,2,1.5,qwen2.5-coder,10,2,no_anchor,0.5553333333333333,0.5633333333333334,0.5633333333333334,0.25,0.25,6.6,0.575,0.7,0.35
qwen2.5-coder:1.5b,2,1.5,qwen2.5-coder,10,2,repeated_spec,0.5583333333333333,0.5433333333333333,0.5433333333333333,0.2,0.2,8.6,0.6366666666666666,0.7,0.3
qwen2.5-coder:1.5b,2,1.5,qwen2.5-coder,10,3,no_anchor,0.5553333333333333,0.5633333333333334,0.5633333333333334,0.25,0.25,6.6,0.575,0.7,0.35
qwen2.5-coder:1.5b,2,1.5,qwen2.5-coder,10,3,repeated_spec,0.6038333333333333,0.6233333333333333,0.6233333333333333,0.15,0.15,8.6,0.6566666666666666,0.7,0.35
