model,params_b,horizon,context_strategy,task_family,n,CodeDriftScore,SSR_final,CCS_final,SSFR_any,SSFR_critical,CHL,TSS,TestPassRate,ConflictResistance
baseline:do_nothing,0.0,50,no_anchor,token_redactor,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0.0,50,repeated_spec,config_parser,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0.0,50,repeated_spec,csv_schema,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0.0,50,repeated_spec,path_sanitizer,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0.0,50,repeated_spec,todo_cli,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0.0,50,repeated_spec,token_redactor,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
qwen2.5-coder:0.5b,0.5,10,active_constraints,config_parser,5,0.55,1.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0
qwen2.5-coder:0.5b,0.5,10,active_constraints,csv_schema,5,0.5,0.5,0.5,0.0,0.0,5.0,0.5,0.5,0.5
qwen2.5-coder:0.5b,0.5,10,active_constraints,path_sanitizer,5,0.34375,0.25,0.25,1.0,1.0,1.0,0.3125,1.0,0.0
qwen2.5-coder:0.5b,0.5,10,active_constraints,todo_cli,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
qwen2.5-coder:0.5b,0.5,10,active_constraints,token_redactor,5,0.785,0.8,0.8,1.0,1.0,11.0,0.8,1.0,0.5
qwen2.5-coder:0.5b,0.5,10,no_anchor,config_parser,5,0.54,0.6,0.6,0.0,0.0,11.0,0.5,0.5,0.5
qwen2.5-coder:0.5b,0.5,10,no_anchor,csv_schema,5,0.5,0.5,0.5,0.0,0.0,5.0,0.5,0.5,0.5
qwen2.5-coder:0.5b,0.5,10,no_anchor,path_sanitizer,5,0.55,1.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0
qwen2.5-coder:0.5b,0.5,10,no_anchor,todo_cli,5,0.26249999999999996,0.0,0.0,0.0,0.0,5.0,0.5,0.5,0.25
qwen2.5-coder:0.5b,0.5,10,no_anchor,token_redactor,5,0.5925,0.6,0.6,0.5,0.5,2.0,0.55,0.75,0.5
qwen2.5-coder:0.5b,0.5,10,repeated_spec,config_parser,5,0.8150000000000001,0.8,0.8,0.5,0.5,11.0,0.9,1.0,0.5
qwen2.5-coder:0.5b,0.5,10,repeated_spec,csv_schema,5,0.5,0.5,0.5,0.0,0.0,5.0,0.5,0.5,0.5
qwen2.5-coder:0.5b,0.5,10,repeated_spec,path_sanitizer,5,0.55,1.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0
qwen2.5-coder:0.5b,0.5,10,repeated_spec,todo_cli,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
qwen2.5-coder:0.5b,0.5,10,repeated_spec,token_redactor,5,0.8150000000000001,0.8,0.8,0.5,0.5,11.0,0.9,1.0,0.5
qwen2.5-coder:0.5b,0.5,25,active_constraints,config_parser,5,0.55,1.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0
qwen2.5-coder:0.5b,0.5,25,active_constraints,csv_schema,5,0.455,0.5,0.5,0.0,0.0,5.0,0.4,0.4,0.5
qwen2.5-coder:0.5b,0.5,25,active_constraints,path_sanitizer,5,0.33999999999999997,0.25,0.25,1.0,1.0,1.0,0.3,1.0,0.0
qwen2.5-coder:0.5b,0.5,25,active_constraints,todo_cli,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
qwen2.5-coder:0.5b,0.5,25,active_constraints,token_redactor,5,0.785,0.8,0.8,1.0,1.0,26.0,0.8,1.0,0.5
qwen2.5-coder:0.5b,0.5,25,no_anchor,config_parser,5,0.495,0.6,0.6,0.0,0.0,26.0,0.4,0.4,0.5
qwen2.5-coder:0.5b,0.5,25,no_anchor,csv_schema,5,0.44437499999999996,0.45,0.45,0.0,0.0,5.0,0.4,0.4,0.5625
qwen2.5-coder:0.5b,0.5,25,no_anchor,path_sanitizer,5,0.55,1.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0
qwen2.5-coder:0.5b,0.5,25,no_anchor,todo_cli,5,0.195,0.0,0.0,0.0,0.0,5.0,0.4,0.4,0.1
qwen2.5-coder:0.5b,0.5,25,no_anchor,token_redactor,5,0.6029999999999999,0.6,0.6,0.6,0.6,2.0,0.5599999999999999,0.8,0.5
qwen2.5-coder:0.5b,0.5,25,repeated_spec,config_parser,5,0.809,0.8,0.8,0.6,0.6,26.0,0.88,1.0,0.5
qwen2.5-coder:0.5b,0.5,25,repeated_spec,csv_schema,5,0.455,0.5,0.5,0.0,0.0,5.0,0.4,0.4,0.5
qwen2.5-coder:0.5b,0.5,25,repeated_spec,path_sanitizer,5,0.55,1.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0
qwen2.5-coder:0.5b,0.5,25,repeated_spec,todo_cli,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
qwen2.5-coder:0.5b,0.5,25,repeated_spec,token_redactor,5,0.809,0.8,0.8,0.6,0.6,26.0,0.88,1.0,0.5
qwen2.5-coder:0.5b,0.5,50,active_constraints,config_parser,5,0.55,1.0,1.0,0.0,0.0,51.0,0.0,0.0,1.0
qwen2.5-coder:0.5b,0.5,50,active_constraints,csv_schema,5,0.42727272727272725,0.5,0.5,0.0,0.0,5.0,0.3333333333333333,0.3333333333333333,0.5151515151515151
qwen2.5-coder:0.5b,0.5,50,active_constraints,path_sanitizer,5,0.3375,0.25,0.25,1.0,1.0,1.0,0.2916666666666667,1.0,0.0
qwen2.5-coder:0.5b,0.5,50,active_constraints,todo_cli,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
qwen2.5-coder:0.5b,0.5,50,active_constraints,token_redactor,5,0.785,0.8,0.8,1.0,1.0,51.0,0.8,1.0,0.5
qwen2.5-coder:0.5b,0.5,50,no_anchor,config_parser,5,0.46499999999999997,0.6,0.6,0.0,0.0,51.0,0.3333333333333333,0.3333333333333333,0.5
qwen2.5-coder:0.5b,0.5,50,no_anchor,csv_schema,5,0.3354545454545454,0.25,0.25,0.0,0.0,5.0,0.3333333333333333,0.3333333333333333,0.5696969696969697
qwen2.5-coder:0.5b,0.5,50,no_anchor,path_sanitizer,5,0.55,1.0,1.0,0.0,0.0,51.0,0.0,0.0,1.0
qwen2.5-coder:0.5b,0.5,50,no_anchor,todo_cli,5,0.18933333333333333,0.03333333333333333,0.03333333333333333,0.1,0.1,5.0,0.35,0.43333333333333335,0.04
qwen2.5-coder:0.5b,0.5,50,no_anchor,token_redactor,5,0.6099999999999999,0.6,0.6,0.6666666666666666,0.6666666666666666,2.0,0.5666666666666667,0.8333333333333334,0.5
qwen2.5-coder:0.5b,0.5,50,repeated_spec,config_parser,5,0.805,0.8,0.8,0.6666666666666666,0.6666666666666666,51.0,0.8666666666666667,1.0,0.5
qwen2.5-coder:0.5b,0.5,50,repeated_spec,csv_schema,5,0.42727272727272725,0.5,0.5,0.0,0.0,5.0,0.3333333333333333,0.3333333333333333,0.5151515151515151
qwen2.5-coder:0.5b,0.5,50,repeated_spec,path_sanitizer,5,0.55,1.0,1.0,0.0,0.0,51.0,0.0,0.0,1.0
qwen2.5-coder:0.5b,0.5,50,repeated_spec,todo_cli,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
qwen2.5-coder:0.5b,0.5,50,repeated_spec,token_redactor,5,0.805,0.8,0.8,0.6666666666666666,0.6666666666666666,51.0,0.8666666666666667,1.0,0.5
qwen2.5-coder:1.5b,1.5,10,active_constraints,config_parser,2,0.49,0.4,0.4,0.25,0.25,5.0,0.6,0.75,0.25
qwen2.5-coder:1.5b,1.5,10,active_constraints,csv_schema,2,0.1,0.25,0.25,0.0,0.0,5.0,0.0,0.0,0.0
qwen2.5-coder:1.5b,1.5,10,active_constraints,path_sanitizer,2,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
qwen2.5-coder:1.5b,1.5,10,active_constraints,todo_cli,2,0.5166666666666666,0.41666666666666663,0.41666666666666663,0.375,0.375,8.0,0.7291666666666666,0.875,0.0
qwen2.5-coder:1.5b,1.5,10,active_constraints,token_redactor,2,0.8525,0.8,0.8,0.5,0.5,11.0,0.9,1.0,0.75
qwen2.5-coder:1.5b,1.5,10,no_anchor,config_parser,3,0.385,0.4,0.4,0.0,0.0,5.0,0.5,0.5,0.0
qwen2.5-coder:1.5b,1.5,10,no_anchor,csv_schema,3,0.25,0.5,0.5,0.0,0.0,5.0,0.0,0.0,0.3333333333333333
qwen2.5-coder:1.5b,1.5,10,no_anchor,path_sanitizer,3,0.6625,0.75,0.75,0.75,0.75,2.0,0.625,1.0,0.16666666666666666
qwen2.5-coder:1.5b,1.5,10,no_anchor,todo_cli,3,0.47916666666666663,0.16666666666666666,0.16666666666666666,0.5,0.5,10.0,0.75,1.0,0.25
qwen2.5-coder:1.5b,1.5,10,no_anchor,token_redactor,3,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
qwen2.5-coder:1.5b,1.5,10,repeated_spec,config_parser,3,0.305,0.2,0.2,0.0,0.0,5.0,0.5,0.5,0.0
qwen2.5-coder:1.5b,1.5,10,repeated_spec,csv_schema,3,0.1,0.25,0.25,0.0,0.0,5.0,0.0,0.0,0.0
qwen2.5-coder:1.5b,1.5,10,repeated_spec,path_sanitizer,3,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
qwen2.5-coder:1.5b,1.5,10,repeated_spec,todo_cli,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,11.0,0.8333333333333333,1.0,0.0
qwen2.5-coder:1.5b,1.5,10,repeated_spec,token_redactor,3,0.8716666666666667,0.8666666666666667,0.8666666666666667,0.3333333333333333,0.3333333333333333,11.0,0.9166666666666666,1.0,0.6666666666666666
