model,seed,task,strategy,horizon,legacy_score,feature_score,hygiene_score,spec_score,silent_spec_failure,strict_feature_pass,legacy_regression,failure_count,baseline_matched_feature_score,baseline_adjusted_feature_lift
baseline:copy,2,todo_tags,active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
baseline:copy,2,todo_tags,active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
baseline:copy,2,todo_done_filter,no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
baseline:copy,2,todo_done_filter,no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
baseline:copy,2,todo_done_filter,no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
baseline:copy,2,todo_done_filter,active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
baseline:copy,2,todo_done_filter,active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
baseline:copy,2,todo_done_filter,active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
baseline:copy,2,redactor_aws,no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
baseline:copy,2,redactor_aws,no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
baseline:copy,2,redactor_aws,no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
baseline:copy,2,redactor_aws,active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
baseline:copy,2,redactor_aws,active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
baseline:copy,2,redactor_aws,active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
baseline:copy,2,config_timeout,no_anchor,5,1.0,0.5,1.0,0.8,False,False,False,1,0.5,0.0
baseline:copy,2,config_timeout,no_anchor,10,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
baseline:copy,2,config_timeout,no_anchor,20,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
baseline:copy,2,config_timeout,active_constraints,5,1.0,0.5,1.0,0.8,False,False,False,1,0.5,0.0
baseline:copy,2,config_timeout,active_constraints,10,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
baseline:copy,2,config_timeout,active_constraints,20,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
baseline:copy,3,todo_tags,no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
baseline:copy,3,todo_tags,no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
baseline:copy,3,todo_tags,no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
baseline:copy,3,todo_tags,active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
baseline:copy,3,todo_tags,active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
baseline:copy,3,todo_tags,active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
baseline:copy,3,todo_done_filter,no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
baseline:copy,3,todo_done_filter,no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
baseline:copy,3,todo_done_filter,no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
baseline:copy,3,todo_done_filter,active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
baseline:copy,3,todo_done_filter,active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
baseline:copy,3,todo_done_filter,active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
baseline:copy,3,redactor_aws,no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
baseline:copy,3,redactor_aws,no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
baseline:copy,3,redactor_aws,no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
baseline:copy,3,redactor_aws,active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
baseline:copy,3,redactor_aws,active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
baseline:copy,3,redactor_aws,active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
baseline:copy,3,config_timeout,no_anchor,5,1.0,0.5,1.0,0.8,False,False,False,1,0.5,0.0
baseline:copy,3,config_timeout,no_anchor,10,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
baseline:copy,3,config_timeout,no_anchor,20,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
baseline:copy,3,config_timeout,active_constraints,5,1.0,0.5,1.0,0.8,False,False,False,1,0.5,0.0
baseline:copy,3,config_timeout,active_constraints,10,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
baseline:copy,3,config_timeout,active_constraints,20,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
qwen2.5-coder:1.5b,1,todo_tags,no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
qwen2.5-coder:1.5b,1,todo_tags,no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
qwen2.5-coder:1.5b,1,todo_tags,no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
qwen2.5-coder:1.5b,1,todo_tags,active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
qwen2.5-coder:1.5b,1,todo_tags,active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
qwen2.5-coder:1.5b,1,todo_tags,active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
qwen2.5-coder:1.5b,1,todo_done_filter,no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
qwen2.5-coder:1.5b,1,todo_done_filter,no_anchor,10,1.0,0.3333333333333333,1.0,0.7333333333333333,True,False,False,2,0.0,0.3333333333333333
qwen2.5-coder:1.5b,1,todo_done_filter,no_anchor,20,1.0,0.3333333333333333,1.0,0.7333333333333333,True,False,False,2,0.0,0.3333333333333333
qwen2.5-coder:1.5b,1,todo_done_filter,active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
qwen2.5-coder:1.5b,1,todo_done_filter,active_constraints,10,1.0,0.3333333333333333,1.0,0.7333333333333333,True,False,False,2,0.0,0.3333333333333333
qwen2.5-coder:1.5b,1,todo_done_filter,active_constraints,20,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.0,1.0
qwen2.5-coder:1.5b,1,redactor_aws,no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,1,redactor_aws,no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,1,redactor_aws,no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,1,redactor_aws,active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,1,redactor_aws,active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,1,redactor_aws,active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,1,config_timeout,no_anchor,5,1.0,0.5,1.0,0.8,False,False,False,1,0.5,0.0
qwen2.5-coder:1.5b,1,config_timeout,no_anchor,10,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
qwen2.5-coder:1.5b,1,config_timeout,no_anchor,20,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
qwen2.5-coder:1.5b,1,config_timeout,active_constraints,5,1.0,0.5,1.0,0.8,False,False,False,1,0.5,0.0
qwen2.5-coder:1.5b,1,config_timeout,active_constraints,10,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
qwen2.5-coder:1.5b,1,config_timeout,active_constraints,20,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
qwen2.5-coder:1.5b,2,todo_tags,no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
qwen2.5-coder:1.5b,2,todo_tags,no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
qwen2.5-coder:1.5b,2,todo_tags,no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
qwen2.5-coder:1.5b,2,todo_tags,active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
qwen2.5-coder:1.5b,2,todo_tags,active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
qwen2.5-coder:1.5b,2,todo_tags,active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
qwen2.5-coder:1.5b,2,todo_done_filter,no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
qwen2.5-coder:1.5b,2,todo_done_filter,no_anchor,10,1.0,0.3333333333333333,1.0,0.7333333333333333,True,False,False,2,0.0,0.3333333333333333
qwen2.5-coder:1.5b,2,todo_done_filter,no_anchor,20,1.0,0.3333333333333333,1.0,0.7333333333333333,True,False,False,2,0.0,0.3333333333333333
qwen2.5-coder:1.5b,2,todo_done_filter,active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
qwen2.5-coder:1.5b,2,todo_done_filter,active_constraints,10,1.0,0.3333333333333333,1.0,0.7333333333333333,True,False,False,2,0.0,0.3333333333333333
qwen2.5-coder:1.5b,2,todo_done_filter,active_constraints,20,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.0,1.0
qwen2.5-coder:1.5b,2,redactor_aws,no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,2,redactor_aws,no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,2,redactor_aws,no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,2,redactor_aws,active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,2,redactor_aws,active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,2,redactor_aws,active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,2,config_timeout,no_anchor,5,1.0,0.5,1.0,0.8,False,False,False,1,0.5,0.0
qwen2.5-coder:1.5b,2,config_timeout,no_anchor,10,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
qwen2.5-coder:1.5b,2,config_timeout,no_anchor,20,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
qwen2.5-coder:1.5b,2,config_timeout,active_constraints,5,1.0,0.5,1.0,0.8,False,False,False,1,0.5,0.0
qwen2.5-coder:1.5b,2,config_timeout,active_constraints,10,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
qwen2.5-coder:1.5b,2,config_timeout,active_constraints,20,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
qwen2.5-coder:1.5b,3,todo_tags,no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
qwen2.5-coder:1.5b,3,todo_tags,no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
qwen2.5-coder:1.5b,3,todo_tags,no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
qwen2.5-coder:1.5b,3,todo_tags,active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
qwen2.5-coder:1.5b,3,todo_tags,active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
qwen2.5-coder:1.5b,3,todo_tags,active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,3,0.0,0.0
qwen2.5-coder:1.5b,3,todo_done_filter,no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
qwen2.5-coder:1.5b,3,todo_done_filter,no_anchor,10,1.0,0.3333333333333333,1.0,0.7333333333333333,True,False,False,2,0.0,0.3333333333333333
qwen2.5-coder:1.5b,3,todo_done_filter,no_anchor,20,1.0,0.3333333333333333,1.0,0.7333333333333333,True,False,False,2,0.0,0.3333333333333333
qwen2.5-coder:1.5b,3,todo_done_filter,active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,0.0,0.0
qwen2.5-coder:1.5b,3,todo_done_filter,active_constraints,10,1.0,0.3333333333333333,1.0,0.7333333333333333,True,False,False,2,0.0,0.3333333333333333
qwen2.5-coder:1.5b,3,todo_done_filter,active_constraints,20,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.0,1.0
qwen2.5-coder:1.5b,3,redactor_aws,no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,3,redactor_aws,no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,3,redactor_aws,no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,3,redactor_aws,active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,3,redactor_aws,active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,3,redactor_aws,active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,1,0.0,0.0
qwen2.5-coder:1.5b,3,config_timeout,no_anchor,5,1.0,0.5,1.0,0.8,False,False,False,1,0.5,0.0
qwen2.5-coder:1.5b,3,config_timeout,no_anchor,10,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
qwen2.5-coder:1.5b,3,config_timeout,no_anchor,20,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
qwen2.5-coder:1.5b,3,config_timeout,active_constraints,5,1.0,0.5,1.0,0.8,False,False,False,1,0.5,0.0
qwen2.5-coder:1.5b,3,config_timeout,active_constraints,10,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
qwen2.5-coder:1.5b,3,config_timeout,active_constraints,20,1.0,0.5,1.0,0.8,False,False,False,2,0.5,0.0
qwen2.5-coder:3b,1,todo_tags,no_anchor,5,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,1,todo_tags,no_anchor,10,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,1,todo_tags,no_anchor,20,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,1,todo_tags,active_constraints,5,0.875,0.0,1.0,0.5562499999999999,False,False,True,3,0.0,0.0
qwen2.5-coder:3b,1,todo_tags,active_constraints,10,0.875,0.0,1.0,0.5562499999999999,False,False,True,4,0.0,0.0
qwen2.5-coder:3b,1,todo_tags,active_constraints,20,0.875,0.0,1.0,0.5562499999999999,False,False,True,4,0.0,0.0
qwen2.5-coder:3b,1,todo_done_filter,no_anchor,5,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,1,todo_done_filter,no_anchor,10,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,1,todo_done_filter,no_anchor,20,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,1,todo_done_filter,active_constraints,5,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.0,1.0
qwen2.5-coder:3b,1,todo_done_filter,active_constraints,10,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.0,1.0
qwen2.5-coder:3b,1,todo_done_filter,active_constraints,20,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.0,1.0
qwen2.5-coder:3b,1,redactor_aws,no_anchor,5,0.875,1.0,1.0,0.9562499999999999,False,True,True,1,0.0,1.0
qwen2.5-coder:3b,1,redactor_aws,no_anchor,10,0.875,1.0,1.0,0.9562499999999999,False,True,True,1,0.0,1.0
qwen2.5-coder:3b,1,redactor_aws,no_anchor,20,0.875,1.0,1.0,0.9562499999999999,False,True,True,1,0.0,1.0
qwen2.5-coder:3b,1,redactor_aws,active_constraints,5,0.875,0.0,1.0,0.5562499999999999,False,False,True,2,0.0,0.0
qwen2.5-coder:3b,1,redactor_aws,active_constraints,10,0.875,0.0,1.0,0.5562499999999999,False,False,True,2,0.0,0.0
qwen2.5-coder:3b,1,redactor_aws,active_constraints,20,0.875,0.0,1.0,0.5562499999999999,False,False,True,2,0.0,0.0
qwen2.5-coder:3b,1,config_timeout,no_anchor,5,1.0,1.0,1.0,1.0,False,True,False,0,0.5,0.5
qwen2.5-coder:3b,1,config_timeout,no_anchor,10,1.0,1.0,1.0,1.0,False,True,False,0,0.5,0.5
qwen2.5-coder:3b,1,config_timeout,no_anchor,20,1.0,1.0,1.0,1.0,False,True,False,0,0.5,0.5
qwen2.5-coder:3b,1,config_timeout,active_constraints,5,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.5,0.5
qwen2.5-coder:3b,1,config_timeout,active_constraints,10,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.5,0.5
qwen2.5-coder:3b,1,config_timeout,active_constraints,20,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.5,0.5
qwen2.5-coder:3b,2,todo_tags,no_anchor,5,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,2,todo_tags,no_anchor,10,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,2,todo_tags,no_anchor,20,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,2,todo_tags,active_constraints,5,0.875,0.0,1.0,0.5562499999999999,False,False,True,3,0.0,0.0
qwen2.5-coder:3b,2,todo_tags,active_constraints,10,0.875,0.0,1.0,0.5562499999999999,False,False,True,4,0.0,0.0
qwen2.5-coder:3b,2,todo_tags,active_constraints,20,0.875,0.0,1.0,0.5562499999999999,False,False,True,4,0.0,0.0
qwen2.5-coder:3b,2,todo_done_filter,no_anchor,5,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,2,todo_done_filter,no_anchor,10,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,2,todo_done_filter,no_anchor,20,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,2,todo_done_filter,active_constraints,5,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.0,1.0
qwen2.5-coder:3b,2,todo_done_filter,active_constraints,10,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.0,1.0
qwen2.5-coder:3b,2,todo_done_filter,active_constraints,20,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.0,1.0
qwen2.5-coder:3b,2,redactor_aws,no_anchor,5,0.875,1.0,1.0,0.9562499999999999,False,True,True,1,0.0,1.0
qwen2.5-coder:3b,2,redactor_aws,no_anchor,10,0.875,1.0,1.0,0.9562499999999999,False,True,True,1,0.0,1.0
qwen2.5-coder:3b,2,redactor_aws,no_anchor,20,0.875,1.0,1.0,0.9562499999999999,False,True,True,1,0.0,1.0
qwen2.5-coder:3b,2,redactor_aws,active_constraints,5,0.875,0.0,1.0,0.5562499999999999,False,False,True,2,0.0,0.0
qwen2.5-coder:3b,2,redactor_aws,active_constraints,10,0.875,0.0,1.0,0.5562499999999999,False,False,True,2,0.0,0.0
qwen2.5-coder:3b,2,redactor_aws,active_constraints,20,0.875,0.0,1.0,0.5562499999999999,False,False,True,2,0.0,0.0
qwen2.5-coder:3b,2,config_timeout,no_anchor,5,1.0,1.0,1.0,1.0,False,True,False,0,0.5,0.5
qwen2.5-coder:3b,2,config_timeout,no_anchor,10,1.0,1.0,1.0,1.0,False,True,False,0,0.5,0.5
qwen2.5-coder:3b,2,config_timeout,no_anchor,20,1.0,1.0,1.0,1.0,False,True,False,0,0.5,0.5
qwen2.5-coder:3b,2,config_timeout,active_constraints,5,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.5,0.5
qwen2.5-coder:3b,2,config_timeout,active_constraints,10,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.5,0.5
qwen2.5-coder:3b,2,config_timeout,active_constraints,20,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.5,0.5
qwen2.5-coder:3b,3,todo_tags,no_anchor,5,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,3,todo_tags,no_anchor,10,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,3,todo_tags,no_anchor,20,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,3,todo_tags,active_constraints,5,0.875,0.0,1.0,0.5562499999999999,False,False,True,3,0.0,0.0
qwen2.5-coder:3b,3,todo_tags,active_constraints,10,0.875,0.0,1.0,0.5562499999999999,False,False,True,4,0.0,0.0
qwen2.5-coder:3b,3,todo_tags,active_constraints,20,0.875,0.0,1.0,0.5562499999999999,False,False,True,4,0.0,0.0
qwen2.5-coder:3b,3,todo_done_filter,no_anchor,5,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,3,todo_done_filter,no_anchor,10,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,3,todo_done_filter,no_anchor,20,1.0,1.0,1.0,1.0,False,True,False,0,0.0,1.0
qwen2.5-coder:3b,3,todo_done_filter,active_constraints,5,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.0,1.0
qwen2.5-coder:3b,3,todo_done_filter,active_constraints,10,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.0,1.0
qwen2.5-coder:3b,3,todo_done_filter,active_constraints,20,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.0,1.0
qwen2.5-coder:3b,3,redactor_aws,no_anchor,5,0.875,1.0,1.0,0.9562499999999999,False,True,True,1,0.0,1.0
qwen2.5-coder:3b,3,redactor_aws,no_anchor,10,0.875,1.0,1.0,0.9562499999999999,False,True,True,1,0.0,1.0
qwen2.5-coder:3b,3,redactor_aws,no_anchor,20,0.875,1.0,1.0,0.9562499999999999,False,True,True,1,0.0,1.0
qwen2.5-coder:3b,3,redactor_aws,active_constraints,5,0.875,0.0,1.0,0.5562499999999999,False,False,True,2,0.0,0.0
qwen2.5-coder:3b,3,redactor_aws,active_constraints,10,0.875,0.0,1.0,0.5562499999999999,False,False,True,2,0.0,0.0
qwen2.5-coder:3b,3,redactor_aws,active_constraints,20,0.875,0.0,1.0,0.5562499999999999,False,False,True,2,0.0,0.0
qwen2.5-coder:3b,3,config_timeout,no_anchor,5,1.0,1.0,1.0,1.0,False,True,False,0,0.5,0.5
qwen2.5-coder:3b,3,config_timeout,no_anchor,10,1.0,1.0,1.0,1.0,False,True,False,0,0.5,0.5
qwen2.5-coder:3b,3,config_timeout,no_anchor,20,1.0,1.0,1.0,1.0,False,True,False,0,0.5,0.5
qwen2.5-coder:3b,3,config_timeout,active_constraints,5,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.5,0.5
qwen2.5-coder:3b,3,config_timeout,active_constraints,10,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.5,0.5
qwen2.5-coder:3b,3,config_timeout,active_constraints,20,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,0.5,0.5
